tweet_id,retweet_count,favorite_count
892420643555336193,7200,34579
892177421306343426,5406,29978
891815181378084864,3571,22546
891689557279858688,7423,37817
891327558926688256,7960,36119
891087950875897856,2677,18214
890971913173991426,1719,10610
890729181411237888,16202,58197
890609185150312448,3718,25079
890240255349198849,6258,28598
890006608113172480,6307,27623
889880896479866881,4281,25115
889665388333682689,8574,43034
889638837579907072,3830,24211
889531135344209921,1928,13632
889278841981685760,4567,22616
888917238123831296,3842,26203
888804989199671297,3634,22965
888554962724278272,2958,17719
888078434458587136,2976,19575
887705289381826560,4649,27234
887517139158093824,10092,41680
887473957103951883,15418,61615
887343217045368832,9038,30243
887101392804085760,5109,27575
886983233522544640,6528,31106
886736880519319552,2718,10728
886680336477933568,3837,20198
886366144734445568,2706,18973
886267009285017600,3,104
886258384151887873,5418,25124
886054160059072513,96,0
885984800019947520,5758,29262
885528943205470208,5486,32304
885518971528720385,3194,18410
885311592912609280,15851,0
885167619883638784,3756,19662
884925521741709313,15451,68943
884876753390489601,4787,24967
884562892145688576,4021,21823
884441805382717440,4901,24405
884247878851493888,17388,64891
884162670584377345,2554,18351
883838122936631299,2937,19631
883482846933004288,8492,41148
883360690899218434,3162,20395
883117836046086144,5678,33290
882992080364220416,3319,21454
882762694511734784,4204,25354
882627270321602560,5204,25179
882268110199369728,9934,40137
882045870035918850,4182,26361
881906580714921986,2920,21922
881666595344535552,9195,45571
881633300179243008,8,113
881536004380872706,13757,44456
881268444196462592,4587,20961
880935762899988482,2399,15388
880872448815771648,3281,19156
880465832366813184,5339,25565
880221127280381952,3574,24231
880095782870896641,3742,24860
879862464715927552,2996,20162
879674319642796034,9,284
879492040517615616,2713,21172
879415818425184262,38447,95004
879376492567855104,2700,15175
879130579576475649,5884,0
879050749262655488,4052,20274
879008229531029506,2307,17148
878776093423087618,3526,17497
878604707211726852,6073,27021
878404777348136964,1099,0
878316110768087041,5688,0
878281511006478336,1099,6948
878057613040115712,5884,37950
877736472329191424,16256,71038
877611172832227328,70,0
877556246731214848,3259,20425
877316821321428993,4471,24725
877201837425926144,4769,24395
876838120628539392,2870,18638
876537666061221889,4079,21486
876484053909872640,2049,16942
876120275196170240,4015,25233
875747767867523072,3681,22671
875144289856114688,4236,19809
875097192612077568,5259,24791
875021211251597312,4081,23059
874680097055178752,4018,25142
